CMDLINE C:\Users\jorge.silva\PycharmProjects\streamlit_101\venv\Scripts\python.exe forms.py
MEM 0.410156 1666846918.0590
MEM 2.496094 1666846918.1597
MEM 2.496094 1666846918.2605
MEM 2.496094 1666846918.3612
MEM 2.496094 1666846918.4619
MEM 2.496094 1666846918.5627
MEM 2.496094 1666846918.6634
MEM 2.496094 1666846918.7641
MEM 2.496094 1666846918.8648
MEM 2.496094 1666846918.9656
MEM 2.496094 1666846919.0663
MEM 2.496094 1666846919.1670
MEM 2.496094 1666846919.2678
MEM 2.496094 1666846919.3685
MEM 2.496094 1666846919.4692
MEM 2.496094 1666846919.5700
MEM 2.496094 1666846919.6707
MEM 2.496094 1666846919.7714
MEM 2.496094 1666846919.8722
MEM 2.496094 1666846919.9729
MEM 2.496094 1666846920.0736
MEM 2.496094 1666846920.1753
MEM 2.496094 1666846920.2761
MEM 2.496094 1666846920.3768
MEM 2.496094 1666846920.4775
MEM 2.496094 1666846920.5783
MEM 2.496094 1666846920.6790
MEM 2.496094 1666846920.7797
MEM 2.496094 1666846920.8805
MEM 2.496094 1666846920.9812
MEM 2.496094 1666846921.0819
MEM 2.496094 1666846921.1827
MEM 2.496094 1666846921.2834
MEM 2.496094 1666846921.3841
MEM 2.496094 1666846921.4848
MEM 2.496094 1666846921.5856
MEM 2.496094 1666846921.6863
MEM 2.496094 1666846921.7870
MEM 2.496094 1666846921.8878
MEM 2.496094 1666846921.9885
MEM 2.496094 1666846922.0889
MEM 2.496094 1666846922.1896
MEM 2.496094 1666846922.2904
MEM 2.496094 1666846922.3911
MEM 2.496094 1666846922.4919
MEM 2.496094 1666846922.5925
MEM 2.496094 1666846922.6933
MEM 2.496094 1666846922.7940
MEM 2.496094 1666846922.8948
MEM 2.496094 1666846922.9955
MEM 2.496094 1666846923.0962
MEM 2.496094 1666846923.1969
MEM 2.496094 1666846923.2977
MEM 2.496094 1666846923.3984
MEM 2.496094 1666846923.4991
MEM 2.496094 1666846923.5999
